Date_Time,NO2(GT)
28/03/2004 16.00.00,73
28/03/2004 17.00.00,77
28/03/2004 18.00.00,86
28/03/2004 19.00.00,93
28/03/2004 20.00.00,105
28/03/2004 21.00.00,67
28/03/2004 22.00.00,63
28/03/2004 23.00.00,63
29/03/2004 00.00.00,46
29/03/2004 01.00.00,21
29/03/2004 02.00.00,22
29/03/2004 03.00.00,-200
29/03/2004 04.00.00,39
29/03/2004 05.00.00,55
29/03/2004 06.00.00,76
29/03/2004 07.00.00,181
29/03/2004 08.00.00,259
29/03/2004 09.00.00,118
29/03/2004 10.00.00,119
29/03/2004 11.00.00,123
29/03/2004 12.00.00,92
29/03/2004 13.00.00,91
29/03/2004 14.00.00,103
29/03/2004 15.00.00,102
29/03/2004 16.00.00,94
29/03/2004 17.00.00,98
29/03/2004 18.00.00,126
29/03/2004 19.00.00,108
29/03/2004 20.00.00,95
29/03/2004 21.00.00,78
29/03/2004 22.00.00,61
29/03/2004 23.00.00,1339
30/03/2004 00.00.00,1418
30/03/2004 01.00.00,41
30/03/2004 02.00.00,46
30/03/2004 03.00.00,-200
30/03/2004 04.00.00,1462
30/03/2004 05.00.00,52
30/03/2004 06.00.00,111
30/03/2004 07.00.00,191
30/03/2004 08.00.00,642
30/03/2004 09.00.00,283
30/03/2004 10.00.00,320
30/03/2004 11.00.00,249
30/03/2004 12.00.00,219
30/03/2004 13.00.00,200
30/03/2004 14.00.00,138
30/03/2004 15.00.00,118
30/03/2004 16.00.00,99
30/03/2004 17.00.00,112
30/03/2004 18.00.00,117
30/03/2004 19.00.00,129
30/03/2004 20.00.00,132
30/03/2004 21.00.00,73
30/03/2004 22.00.00,68
30/03/2004 23.00.00,80
31/03/2004 00.00.00,68
31/03/2004 01.00.00,1287
31/03/2004 02.00.00,47
31/03/2004 03.00.00,-200
31/03/2004 04.00.00,15
31/03/2004 05.00.00,44
31/03/2004 06.00.00,1220
31/03/2004 07.00.00,207
31/03/2004 08.00.00,230
31/03/2004 09.00.00,181
31/03/2004 10.00.00,144
31/03/2004 11.00.00,140
31/03/2004 12.00.00,204
31/03/2004 13.00.00,149
31/03/2004 14.00.00,171
31/03/2004 15.00.00,195
31/03/2004 16.00.00,152
31/03/2004 17.00.00,128
31/03/2004 18.00.00,121
31/03/2004 19.00.00,142
31/03/2004 20.00.00,131
31/03/2004 21.00.00,81
31/03/2004 22.00.00,60
31/03/2004 23.00.00,57
01/04/2004 00.00.00,96
01/04/2004 01.00.00,85
01/04/2004 02.00.00,50
01/04/2004 03.00.00,-200
01/04/2004 04.00.00,57
01/04/2004 05.00.00,64
01/04/2004 06.00.00,153
01/04/2004 07.00.00,342
01/04/2004 08.00.00,378
01/04/2004 09.00.00,304
01/04/2004 10.00.00,192
01/04/2004 11.00.00,130
01/04/2004 12.00.00,106
01/04/2004 13.00.00,102
01/04/2004 14.00.00,99
01/04/2004 15.00.00,108
01/04/2004 16.00.00,131
01/04/2004 17.00.00,163
01/04/2004 18.00.00,211
01/04/2004 19.00.00,267
01/04/2004 20.00.00,269
01/04/2004 21.00.00,154
01/04/2004 22.00.00,844
01/04/2004 23.00.00,898
02/04/2004 00.00.00,921
02/04/2004 01.00.00,84
02/04/2004 02.00.00,1180
02/04/2004 03.00.00,-200
02/04/2004 04.00.00,1195
02/04/2004 05.00.00,56
02/04/2004 06.00.00,91
02/04/2004 07.00.00,159
02/04/2004 08.00.00,190
02/04/2004 09.00.00,634
02/04/2004 10.00.00,196
02/04/2004 11.00.00,180
02/04/2004 12.00.00,167
02/04/2004 13.00.00,765
02/04/2004 14.00.00,152
02/04/2004 15.00.00,149
02/04/2004 16.00.00,143
02/04/2004 17.00.00,185
02/04/2004 18.00.00,223
02/04/2004 19.00.00,215
02/04/2004 20.00.00,271
02/04/2004 21.00.00,771
02/04/2004 22.00.00,115
02/04/2004 23.00.00,149
03/04/2004 00.00.00,98
03/04/2004 01.00.00,73
03/04/2004 02.00.00,69
03/04/2004 03.00.00,-200
03/04/2004 04.00.00,60
03/04/2004 05.00.00,56
03/04/2004 06.00.00,73
03/04/2004 07.00.00,846
03/04/2004 08.00.00,704
03/04/2004 09.00.00,211
03/04/2004 10.00.00,785
03/04/2004 11.00.00,781
03/04/2004 12.00.00,781
03/04/2004 13.00.00,866
03/04/2004 14.00.00,915
03/04/2004 15.00.00,882
03/04/2004 16.00.00,834
03/04/2004 17.00.00,812
03/04/2004 18.00.00,764
03/04/2004 19.00.00,625
03/04/2004 20.00.00,736
03/04/2004 21.00.00,873
03/04/2004 22.00.00,762
03/04/2004 23.00.00,847
04/04/2004 00.00.00,884
04/04/2004 01.00.00,929
04/04/2004 02.00.00,980
04/04/2004 03.00.00,965
04/04/2004 04.00.00,1090
04/04/2004 05.00.00,1171
04/04/2004 06.00.00,1020
04/04/2004 07.00.00,1110
04/04/2004 08.00.00,1063
04/04/2004 09.00.00,868
04/04/2004 10.00.00,846
04/04/2004 11.00.00,906
04/04/2004 12.00.00,895
04/04/2004 13.00.00,969
04/04/2004 14.00.00,1057
04/04/2004 15.00.00,863
04/04/2004 16.00.00,841
04/04/2004 17.00.00,845
04/04/2004 18.00.00,838
04/04/2004 19.00.00,755
04/04/2004 20.00.00,830
04/04/2004 21.00.00,989
04/04/2004 22.00.00,909
04/04/2004 23.00.00,930
05/04/2004 00.00.00,1007
05/04/2004 01.00.00,1239
05/04/2004 02.00.00,1233
05/04/2004 03.00.00,1456
05/04/2004 04.00.00,1536
05/04/2004 05.00.00,1175
05/04/2004 06.00.00,945
05/04/2004 07.00.00,767
05/04/2004 08.00.00,570
05/04/2004 09.00.00,647
05/04/2004 10.00.00,236
05/04/2004 11.00.00,713
05/04/2004 12.00.00,206
05/04/2004 13.00.00,188
05/04/2004 14.00.00,158
05/04/2004 15.00.00,124
05/04/2004 16.00.00,832
05/04/2004 17.00.00,160
05/04/2004 18.00.00,194
05/04/2004 19.00.00,174
05/04/2004 20.00.00,157
05/04/2004 21.00.00,852
05/04/2004 22.00.00,85
05/04/2004 23.00.00,90
06/04/2004 00.00.00,1065
06/04/2004 01.00.00,36
06/04/2004 02.00.00,25
06/04/2004 03.00.00,-200
06/04/2004 04.00.00,24
06/04/2004 05.00.00,73
06/04/2004 06.00.00,164
06/04/2004 07.00.00,329
06/04/2004 08.00.00,302
06/04/2004 09.00.00,256
06/04/2004 10.00.00,182
06/04/2004 11.00.00,105
06/04/2004 12.00.00,136
06/04/2004 13.00.00,167
06/04/2004 14.00.00,166
06/04/2004 15.00.00,115
06/04/2004 16.00.00,109
06/04/2004 17.00.00,143
06/04/2004 18.00.00,728
06/04/2004 19.00.00,181
06/04/2004 20.00.00,178
06/04/2004 21.00.00,91
06/04/2004 22.00.00,76
06/04/2004 23.00.00,66
07/04/2004 00.00.00,56
07/04/2004 01.00.00,35
07/04/2004 02.00.00,21
07/04/2004 03.00.00,-200
07/04/2004 04.00.00,12
07/04/2004 05.00.00,22
07/04/2004 06.00.00,55
07/04/2004 07.00.00,152
07/04/2004 08.00.00,153
07/04/2004 09.00.00,152
07/04/2004 10.00.00,112
07/04/2004 11.00.00,119
07/04/2004 12.00.00,122
07/04/2004 13.00.00,115
07/04/2004 14.00.00,84
07/04/2004 15.00.00,146
07/04/2004 16.00.00,65
07/04/2004 17.00.00,120
07/04/2004 18.00.00,185
07/04/2004 19.00.00,157
07/04/2004 20.00.00,174
07/04/2004 21.00.00,62
07/04/2004 22.00.00,81
07/04/2004 23.00.00,118
08/04/2004 00.00.00,95
08/04/2004 01.00.00,84
08/04/2004 02.00.00,56
08/04/2004 03.00.00,-200
08/04/2004 04.00.00,1366
08/04/2004 05.00.00,69
08/04/2004 06.00.00,74
08/04/2004 07.00.00,161
08/04/2004 08.00.00,308
08/04/2004 09.00.00,300
08/04/2004 10.00.00,189
08/04/2004 11.00.00,164
08/04/2004 12.00.00,122
08/04/2004 13.00.00,166
08/04/2004 14.00.00,181
08/04/2004 15.00.00,127
08/04/2004 16.00.00,106
08/04/2004 17.00.00,192
08/04/2004 18.00.00,241
08/04/2004 19.00.00,326
08/04/2004 20.00.00,232
08/04/2004 21.00.00,92
08/04/2004 22.00.00,95
08/04/2004 23.00.00,-200
09/04/2004 00.00.00,154
09/04/2004 01.00.00,118
09/04/2004 02.00.00,-200
09/04/2004 03.00.00,-200
09/04/2004 04.00.00,-200
09/04/2004 05.00.00,145
09/04/2004 06.00.00,169
09/04/2004 07.00.00,250
09/04/2004 08.00.00,215
09/04/2004 09.00.00,237
09/04/2004 10.00.00,190
09/04/2004 11.00.00,219
09/04/2004 12.00.00,294
09/04/2004 13.00.00,253
09/04/2004 14.00.00,176
09/04/2004 15.00.00,243
09/04/2004 16.00.00,214
09/04/2004 17.00.00,141
09/04/2004 18.00.00,166
09/04/2004 19.00.00,197
09/04/2004 20.00.00,-200
09/04/2004 21.00.00,159
09/04/2004 22.00.00,175
09/04/2004 23.00.00,157
10/04/2004 00.00.00,83
10/04/2004 01.00.00,118
10/04/2004 02.00.00,101
10/04/2004 03.00.00,1142
10/04/2004 04.00.00,46
10/04/2004 05.00.00,1121
10/04/2004 06.00.00,112
10/04/2004 07.00.00,150
10/04/2004 08.00.00,837
10/04/2004 09.00.00,869
10/04/2004 10.00.00,124
10/04/2004 11.00.00,115
10/04/2004 12.00.00,101
10/04/2004 13.00.00,90
10/04/2004 14.00.00,90
10/04/2004 15.00.00,89
10/04/2004 16.00.00,92
10/04/2004 17.00.00,103
10/04/2004 18.00.00,949
10/04/2004 19.00.00,159
10/04/2004 20.00.00,172
10/04/2004 21.00.00,916
10/04/2004 22.00.00,187
10/04/2004 23.00.00,174
11/04/2004 00.00.00,75
11/04/2004 01.00.00,48
11/04/2004 02.00.00,1160
11/04/2004 03.00.00,1162
11/04/2004 04.00.00,1224
11/04/2004 05.00.00,38
11/04/2004 06.00.00,41
11/04/2004 07.00.00,51
11/04/2004 08.00.00,61
11/04/2004 09.00.00,1177
11/04/2004 10.00.00,87
11/04/2004 11.00.00,107
11/04/2004 12.00.00,161
11/04/2004 13.00.00,61
11/04/2004 14.00.00,26
11/04/2004 15.00.00,42
11/04/2004 16.00.00,1348
11/04/2004 17.00.00,65
11/04/2004 18.00.00,75
11/04/2004 19.00.00,1079
11/04/2004 20.00.00,63
11/04/2004 21.00.00,60
11/04/2004 22.00.00,63
11/04/2004 23.00.00,66
12/04/2004 00.00.00,41
12/04/2004 01.00.00,42
12/04/2004 02.00.00,36
12/04/2004 03.00.00,-200
12/04/2004 04.00.00,16
12/04/2004 05.00.00,16
12/04/2004 06.00.00,33
12/04/2004 07.00.00,39
12/04/2004 08.00.00,45
12/04/2004 09.00.00,63
12/04/2004 10.00.00,1210
12/04/2004 11.00.00,104
12/04/2004 12.00.00,85
12/04/2004 13.00.00,53
12/04/2004 14.00.00,58
12/04/2004 15.00.00,89
12/04/2004 16.00.00,96
12/04/2004 17.00.00,88
12/04/2004 18.00.00,100
12/04/2004 19.00.00,127
12/04/2004 20.00.00,88
12/04/2004 21.00.00,66
12/04/2004 22.00.00,61
12/04/2004 23.00.00,54
13/04/2004 00.00.00,46
13/04/2004 01.00.00,25
13/04/2004 02.00.00,18
13/04/2004 03.00.00,-200
13/04/2004 04.00.00,21
13/04/2004 05.00.00,76
13/04/2004 06.00.00,149
13/04/2004 07.00.00,328
13/04/2004 08.00.00,282
13/04/2004 09.00.00,206
13/04/2004 10.00.00,133
13/04/2004 11.00.00,137
13/04/2004 12.00.00,116
13/04/2004 13.00.00,112
13/04/2004 14.00.00,128
13/04/2004 15.00.00,145
13/04/2004 16.00.00,110
13/04/2004 17.00.00,755
13/04/2004 18.00.00,243
13/04/2004 19.00.00,631
13/04/2004 20.00.00,205
13/04/2004 21.00.00,144
13/04/2004 22.00.00,152
13/04/2004 23.00.00,108
14/04/2004 00.00.00,64
14/04/2004 01.00.00,73
14/04/2004 02.00.00,47
14/04/2004 03.00.00,-200
14/04/2004 04.00.00,1349
14/04/2004 05.00.00,79
14/04/2004 06.00.00,113
14/04/2004 07.00.00,263
14/04/2004 08.00.00,569
14/04/2004 09.00.00,263
14/04/2004 10.00.00,183
14/04/2004 11.00.00,147
14/04/2004 12.00.00,132
14/04/2004 13.00.00,877
14/04/2004 14.00.00,788
14/04/2004 15.00.00,790
14/04/2004 16.00.00,895
14/04/2004 17.00.00,826
14/04/2004 18.00.00,799
14/04/2004 19.00.00,789
14/04/2004 20.00.00,675
14/04/2004 21.00.00,730
14/04/2004 22.00.00,870
14/04/2004 23.00.00,964
15/04/2004 00.00.00,1034
15/04/2004 01.00.00,1163
15/04/2004 02.00.00,1243
15/04/2004 03.00.00,1331
15/04/2004 04.00.00,1416
15/04/2004 05.00.00,1255
15/04/2004 06.00.00,906
15/04/2004 07.00.00,625
15/04/2004 08.00.00,609
15/04/2004 09.00.00,309
15/04/2004 10.00.00,327
15/04/2004 11.00.00,299
15/04/2004 12.00.00,257
15/04/2004 13.00.00,195
15/04/2004 14.00.00,681
15/04/2004 15.00.00,748
15/04/2004 16.00.00,192
15/04/2004 17.00.00,251
15/04/2004 18.00.00,289
15/04/2004 19.00.00,351
15/04/2004 20.00.00,319
15/04/2004 21.00.00,264
15/04/2004 22.00.00,144
15/04/2004 23.00.00,119
16/04/2004 00.00.00,882
16/04/2004 01.00.00,96
16/04/2004 02.00.00,77
16/04/2004 03.00.00,1159
16/04/2004 04.00.00,1030
16/04/2004 05.00.00,97
16/04/2004 06.00.00,778
16/04/2004 07.00.00,352
16/04/2004 08.00.00,279
16/04/2004 09.00.00,186
16/04/2004 10.00.00,169
16/04/2004 11.00.00,172
16/04/2004 12.00.00,127
16/04/2004 13.00.00,230
16/04/2004 14.00.00,280
16/04/2004 15.00.00,650
16/04/2004 16.00.00,250
16/04/2004 17.00.00,309
16/04/2004 18.00.00,270
16/04/2004 19.00.00,323
16/04/2004 20.00.00,627
16/04/2004 21.00.00,224
16/04/2004 22.00.00,166
16/04/2004 23.00.00,171
17/04/2004 00.00.00,169
17/04/2004 01.00.00,120
17/04/2004 02.00.00,103
17/04/2004 03.00.00,958
17/04/2004 04.00.00,1158
17/04/2004 05.00.00,1055
17/04/2004 06.00.00,1002
17/04/2004 07.00.00,905
17/04/2004 08.00.00,849
17/04/2004 09.00.00,911
17/04/2004 10.00.00,838
17/04/2004 11.00.00,969
17/04/2004 12.00.00,1054
17/04/2004 13.00.00,939
17/04/2004 14.00.00,1130
17/04/2004 15.00.00,1054
17/04/2004 16.00.00,1033
17/04/2004 17.00.00,1043
17/04/2004 18.00.00,1014
17/04/2004 19.00.00,909
17/04/2004 20.00.00,900
17/04/2004 21.00.00,1022
17/04/2004 22.00.00,919
17/04/2004 23.00.00,798
18/04/2004 00.00.00,897
18/04/2004 01.00.00,942
18/04/2004 02.00.00,982
18/04/2004 03.00.00,988
18/04/2004 04.00.00,1144
